Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
tvmgen_default_fused_sqrt_31               tvmgen_default_fused_sqrt_3                9.271     0.164    (256,)             1       1        
tvmgen_default_fused_negative_43           tvmgen_default_fused_negative_4            9.271     0.164    (512,)             1       1        
tvmgen_default_fused_negative1             tvmgen_default_fused_negative              9.269     0.164    (32,)              1       1        
tvmgen_default_fused_negative_411          tvmgen_default_fused_negative_4            9.266     0.164    (512,)             1       1        
tvmgen_default_fused_multiply_52           tvmgen_default_fused_multiply_5            9.265     0.164    (128,)             2       1        
tvmgen_default_fused_add_153               tvmgen_default_fused_add_15                9.264     0.164    (512,)             2       1        
tvmgen_default_fused_sqrt_411              tvmgen_default_fused_sqrt_4                9.264     0.164    (512,)             1       1        
tvmgen_default_fused_negative_4            tvmgen_default_fused_negative_4            9.263     0.164    (512,)             1       1        
tvmgen_default_fused_negative_410          tvmgen_default_fused_negative_4            9.263     0.164    (512,)             1       1        
tvmgen_default_fused_add_1610              tvmgen_default_fused_add_16                9.263     0.164    (512,)             2       1        
tvmgen_default_fused_sqrt_48               tvmgen_default_fused_sqrt_4                9.262     0.164    (512,)             1       1        
tvmgen_default_fused_negative_2            tvmgen_default_fused_negative_2            9.259     0.164    (128,)             1       1        
tvmgen_default_fused_sqrt_43               tvmgen_default_fused_sqrt_4                9.259     0.164    (512,)             1       1        
tvmgen_default_fused_negative_42           tvmgen_default_fused_negative_4            9.258     0.164    (512,)             1       1        
tvmgen_default_fused_sqrt_49               tvmgen_default_fused_sqrt_4                9.257     0.164    (512,)             1       1        
tvmgen_default_fused_add_1510              tvmgen_default_fused_add_15                9.255     0.164    (512,)             2       1        
tvmgen_default_fused_add_1                 tvmgen_default_fused_add_1                 9.245     0.164    (32,)              2       1        
tvmgen_default_fused_sqrt_410              tvmgen_default_fused_sqrt_4                9.244     0.164    (512,)             1       1        
tvmgen_default_fused_add_1511              tvmgen_default_fused_add_15                9.242     0.164    (512,)             2       1        
tvmgen_default_fused_add_157               tvmgen_default_fused_add_15                9.241     0.164    (512,)             2       1        
tvmgen_default_fused_add_11                tvmgen_default_fused_add_1                 9.238     0.164    (32,)              2       1        
